sample,Hash,nReads
SK_Al_1_Aug_B_r5,df0af3b612213435ad09bcd28dddffd57a57bf89,403
SK_Al_1_Aug_B_r5,089fbdc487bff4946fe2faa5ed681b50d420ac62,501
SK_Al_1_Aug_B_r5,5ce7c8b7c8a84eefc13f9cc7ac45e712a08c485e,402
SK_Al_1_Aug_B_r5,c4cc2db840f3ef84ae73bfb03b40696dba555758,428
SK_Al_1_Aug_B_r5,bc36791e520a46925cc72fcd343c0c11625a7c41,407
SK_Al_1_Aug_B_r5,a825e56d4fed41a0d28cc531186d7c22dd0338f5,3
SK_Al_1_Aug_B_r5,55ee6ba6f334a92d63f13ffd647f4c1952cc2700,269
SK_Al_1_Aug_B_r5,deb915339e853582bd16d8efd45a99fd016bc836,193
SK_Al_1_Aug_B_r5,9e9cc74af72f1c0d76e733cea7eb4b45464b74b1,26
SK_Al_1_Aug_B_r5,9a89ac452f4ede80023b94279a0a5fdd7a047a65,149
SK_Al_1_Aug_B_r5,8c99822bfdd0d7b62666b90295e55a5c101346c6,214
SK_Al_1_Aug_B_r5,a4552abf4c81d70cf95fab81edcdc1c06783d732,162
SK_Al_1_Aug_B_r5,25bff3dbfbd5a855e4aa730e99ae481a25fcdf1a,104
SK_Al_1_Aug_B_r5,daac0b236341100586c2bfbfa33fcd108e29f6ee,84
SK_Al_1_Aug_B_r5,a89a09379d8d22efdefd9f06f1c4f04c80da5c65,80
SK_Al_1_Aug_B_r5,f8369a552f325816430945aa3dfd9a5d8673d539,6
SK_Al_1_Aug_B_r5,89e2a82612416e7b4060586646ca433e8aa6eaf1,73
SK_Al_1_Aug_B_r5,b2f586bb653b659d8b2d1fe22fec215f5577d0d2,82
SK_Al_1_Aug_B_r5,3191bb29803583074f1afecdd27a7bb3c5637b24,16
SK_Al_1_Aug_B_r5,71f67f002191af9b025600f1e141a36156eaf7e1,101
SK_Al_1_Aug_B_r5,140435e26323bdc4d9ee8ba06fe395d711c1b365,53
SK_Al_1_Aug_B_r5,fe811f29ee8a6665c760ab0d98f557832770dfdd,22
SK_Al_1_Aug_B_r5,28452086a2ff8698ca2081ba73a2cf8598028a08,9
SK_Al_1_Aug_B_r5,65382cd20d6a0ff5fa828bb8d6aa71c0c3f3710d,26
SK_Al_1_Aug_B_r5,0a78d43b6c7b717e36a17852c934c47d7eac3fd3,36
SK_Al_1_Aug_B_r5,eacbdd48ee908eb92a0c864e2d7419177f0a29a2,5
SK_Al_1_Aug_B_r5,7de2ec7860b6af4d544633a6aed606605b53030d,32
SK_Al_1_Aug_B_r5,5db64052510456ac5594ad480ad7e1f5aa976ded,4
SK_Al_1_Aug_B_r5,04ea486437dbf62640b2e659c231e7d41dd6a524,15
SK_Al_1_Aug_B_r5,1d9744ee25e96f62ed2c63069e99949ba646741f,18
SK_Al_1_Aug_B_r5,23c2f540d3698ab92f51d5009b8e90cf59437f44,2
SK_Al_1_Aug_B_r5,438b8a97385082b3b12ffcc6e0fcfb4b22b9602a,5
SK_Al_1_Aug_B_r5,f6814b1dc1b9b535fc9c55966c35c20167565ec6,15
SK_Al_1_Aug_B_r5,84c759e5e04331d244d1bbe8db98949d47ea22b4,3
SK_Al_1_Aug_B_r5,33fb4bf55ba54539d2c56b14287f5da682f03c20,5
SK_Al_1_Aug_B_r5,7b952d7e4de82152fcef41a4fd8938eec06fdcf0,3
SK_Al_1_Aug_C_r5,11a112ced1c85e620f6d97d82281a1bb58614e67,1631
SK_Al_1_Aug_C_r5,a31d4e16bf8a39f654272a1186dba2dda26ab921,11820
SK_Al_1_Aug_C_r5,5ea3e5f9f5b217b39bc303871d907b6536ed24fa,6207
SK_Al_1_Aug_C_r5,52a3ead0281795007b0fea2cfcf0e92bb722c71b,1665
SK_Al_1_Aug_C_r5,bccac54ad7babc9191848eab06023ee35501cc72,7193
SK_Al_1_Aug_C_r5,9c1b08211a76599faa4a6763b8c564f85d586b36,21
SK_Al_1_Aug_C_r5,9c09a763d6c811768737dd27009813b61564de01,1810
SK_Al_1_Aug_C_r5,c86edf42afe1847e481b41dc9d0c5e33829cb6c6,2231
SK_Al_1_Aug_C_r5,b8fa6b69798c0a1b93eefe0efd297cca3a7ece98,1116
SK_Al_1_Aug_C_r5,bbe004c5c5f00ff585ea2d5a11ca72f26a68ea80,2220
SK_Al_1_Aug_C_r5,329090d077f862ed845b9dd5a7de2905464cd903,1079
SK_Al_1_Aug_C_r5,077f22783e0965d1e1cb0e248abe4ccd7c0d3358,30
SK_Al_1_Aug_C_r5,94226c24e7e007ecc8810dbf0f907b3491a1621d,225
SK_Al_1_Aug_C_r5,0150e8c7e6355f74f34f1f35f80ca6274d30a7c0,438
SK_Al_1_Aug_C_r5,9ba84255da188b331a6f528376f6ea80a426b346,577
SK_Al_1_Aug_C_r5,ee8e68641ac8ab35b03b53f4e2e094931d309cbf,1068
SK_Al_1_Aug_C_r5,ecbcc3bd709776326a720729ad74c020c160aa3a,37
SK_Al_1_Aug_C_r5,8b2125290c6397c625d31dd8645f8881bf808c50,215
SK_Al_1_Aug_C_r5,b303f87de05e0458b9be7cc94c55bd09c590a9a0,566
SK_Al_1_Aug_C_r5,94c588e6ab1073697228d4dab6b89329263a56f8,179
SK_Al_1_Aug_C_r5,1c22ea8f147aef723fdd44b69e0ec480603a3073,57
SK_Al_1_Aug_C_r5,ca4642472cc6e3d842d01e5a32d32e7f22dd3130,52
SK_Al_1_Aug_C_r5,f9393c337900a568c4b0551f2d1fb05f006a0387,17
SK_Al_1_Aug_C_r5,81bf045e02b4d4c97c5c4b1a8b4891976f712696,411
SK_Al_1_Aug_C_r5,99b3b6f9d723368bde4d178e9037a54cc33324c3,3343
SK_Al_1_Aug_C_r5,267c14223052f6ed4eb4679c52deaaf5db6ddf0f,193
SK_Al_1_Aug_C_r5,be0d8d82b061b00696fbd9b95ef857ecd69eba89,359
SK_Al_1_Aug_C_r5,caea015f61b3a0098eea07cf7d5db37387d6ac8c,415
SK_Al_1_Aug_C_r5,4178d3e55cb5a4bb27bef0c8b478b3bb7b9dabba,143
SK_Al_1_Aug_C_r5,b985bd256d8d431d64480963abbd05efc83a1ded,126
SK_Al_1_Aug_C_r5,45c364c006a02fb7a840400c81943a1849d5fa24,1629
SK_Al_1_Aug_C_r5,9e88c52cd7cbdcb78a3121de21a896cc6bd1b1f8,83
SK_Al_1_Aug_C_r5,a2ff1100fbeeef72396a45de25f567e5c026fc24,107
SK_Al_1_Aug_C_r5,6360e1d86e4dac319ae5ed9c8894bf06f8625a53,1262
SK_Al_1_Aug_C_r5,ac878830e1a33175b38a3d22f827d9c49a1ef2c1,199
SK_Al_1_Aug_C_r5,f480326f0c6c82489d3b525d63ed3f6d1313807f,21
SK_Al_1_Aug_C_r5,d95b4f8a662738776cf7116d5cf249247173dc89,491
SK_Al_1_Aug_C_r5,ec0f0287f1d923a5d7a5af82a10b2e1a01333357,152
SK_Al_1_Aug_C_r5,02e9a927a7af3e5a8b17244f7eb94dec0f77ec71,1182
SK_Al_1_Aug_C_r5,e263188bb84cdf6aff01cef47004411126c77563,1006
SK_Al_1_Aug_C_r5,3bbc6272a953cba6747a92517b1e0a35ea128858,91
SK_Al_1_Aug_C_r5,19441d260e66ad1275ec03df6cd0ff5e9d298120,825
SK_Al_1_Aug_C_r5,b6298c6ee82c39a6922c6c307f46688d5eb8a836,55
SK_Al_1_Aug_C_r5,a4424f88e9e9094f6d7c61ee3c21bf38e27de01d,762
SK_Al_1_Aug_C_r5,f058c93c02e3f3a51857498fd79481e5fceb92f8,684
SK_Al_1_Aug_C_r5,8e5a4b00102a5edb34faae3d70933b035f610682,538
SK_Al_1_Aug_C_r5,acd12d35dac2fa53cb4f36b2e8b822e4520e2da0,593
SK_Al_1_Aug_C_r5,a80d0929f0e540375f0ed86f4814fbdf4a3e9d57,119
SK_Al_1_Aug_C_r5,1e328a20db87af836d32a412e0255f084658bb54,442
SK_Al_1_Aug_C_r5,deb915339e853582bd16d8efd45a99fd016bc836,18
SK_Al_1_Aug_C_r5,3fa81bc20127ebaabad64327cf8700370efa2bcf,117
SK_Al_1_Aug_C_r5,8a408d114e655c7e7dff48168ead0bf9315ec22c,246
SK_Al_1_Aug_C_r5,248f83207137950324efa63cfa3f4ec93cbdf537,261
SK_Al_1_Aug_C_r5,37e6cb39669fe11df1731a941277ec7051231b72,254
SK_Al_1_Aug_C_r5,3fb608c99c92170f72a531e370eecfadef312a19,263
SK_Al_1_Aug_C_r5,260b2ce17c71112228cc7ad7d0352ded6a96e678,232
SK_Al_1_Aug_C_r5,7501669ff398bc4a7e1ed447052d452579584fba,9
SK_Al_1_Aug_C_r5,2b59d44fa3ce1c3352cae5417c5fce66150ae49d,199
SK_Al_1_Aug_C_r5,f2ccad2146efb3d222d84e8eb36046c82b6fa0c4,101
SK_Al_1_Aug_C_r5,86ecc369e39392b377dd889b6f2209d51e3091d6,152
SK_Al_1_Aug_C_r5,dcec99c367ef7aac10032082faa72943704a9f6e,149
SK_Al_1_Aug_C_r5,4b24104bd651089a1afac9c54d35698d115b9f81,134
SK_Al_1_Aug_C_r5,6912e3c1fb0de26e7af4888a4ef3315dca300dd2,3
SK_Al_1_Aug_C_r5,b9107a28035b99b6e8b341235922e9ade2063136,32
SK_Al_1_Aug_C_r5,daf4b92a32362b2de2ad6ab39aba87caa220515d,79
SK_Al_1_Aug_C_r5,acaf7500a7db040b409106d791c66858c3c377cd,47
SK_Al_1_Aug_C_r5,a3519675e1484bb6c5e5a191c4f52c8a41c500f4,29
SK_Al_1_Aug_C_r5,614a1b594f8e980b7a32e58eedb520f9425afcb5,30
SK_Al_1_Aug_C_r5,e94e030f5fabd12f2ce985078ab2f39e060b1696,20
SK_Al_1_Aug_C_r5,e63943a98c9fc7b5a2a0551e4bc0602f79efb22d,33
SK_Al_1_Aug_C_r5,5c0aba2d78ba8a35bff81c1cec33af8c50c033e1,5
SK_Al_1_Aug_C_r5,7648be62fc1152a7e027b6c5ab03820bdea3f87d,20
SK_Al_1_Aug_C_r5,24ae3eb1f3630fe3d91115e7ccb21b4943cf9090,29
SK_Al_1_Aug_C_r5,44ec51f9cd4bba2661a81994f5cea6ddd2835c1f,17
SK_Al_1_Aug_C_r5,5db64052510456ac5594ad480ad7e1f5aa976ded,27
SK_Al_1_Aug_C_r5,6e201ccf467e5566c164b9fb91a93e26ff38817a,4
SK_Al_1_Aug_C_r5,15d222d890dbc4a0b6ba9a1f3dd07b215297a059,16
SK_Al_1_Aug_C_r5,8352a7ec95ee100d31db659a0fd6a5f684b1f506,11
SK_Al_1_Aug_C_r5,434d32faec6b279b52135b75af2ffd5317107bee,5
SK_Al_1_Aug_C_r5,6226aa58adbb9c3b0e76299d190f45c1af3a760e,4
SK_Al_1_Aug_C_r5,f73bef774b89d3ca92d9c437320a82f4ad697d06,4
SK_Al_1_Aug_C_r5,4187dfb2b99db42dae180ceafb862ee5690aad3a,3
SK_Al_1_Aug_C_r5,6667a9090bbbf900fc104f144a3f52c731a6e20a,20
SK_Al_1_Aug_C_r5,bf8af1569b953efdb66d91fefbeef2c884d6a183,12
SK_Al_1_Aug_C_r5,5f185a0b212dfe475046cdc099a0b542e50f9a6c,10
SK_Al_1_Aug_C_r5,5ab47f8d58ffd31999429ad7da218f140895d832,8
SK_Al_1_Jul_A_r5,894db39f7f4dd05d5ab0cbdf6683aa400ac920d0,5
SK_Al_1_Jul_A_r5,11a112ced1c85e620f6d97d82281a1bb58614e67,125
SK_Al_1_Jul_A_r5,8a1c9da427aa6f155aaa44acd2708f79db93e1d1,13976
SK_Al_1_Jul_A_r5,8da6a90264f11ade3077e3ec214bc9995e17e14c,1310
SK_Al_1_Jul_A_r5,bc6b1aeae602820e9af67763214c3b38c6d34f7c,9127
SK_Al_1_Jul_A_r5,b3b7552ad4cb087f2533f45f05c840503002203e,120
SK_Al_1_Jul_A_r5,2e46f9be10f6c3fe32646ff7213f9a80843c7e41,40
SK_Al_1_Jul_A_r5,c54bc989c316d1c02e3e8bf6e807f5a7d7541b60,9123
